Local Keywords,Month,Traffic Source,Views,Visits
taxpack,Jul-13,External,2262,942
taxpack,Jul-13,Internal,43,24
payment summary,Jul-13,External,2467,1050
payment summary,Jul-13,Internal,33,21
help,Jul-13,External,1338,645
help,Jul-13,Internal,17,11
forms,Jul-13,External,946,466
forms,Jul-13,Internal,24,13
living away from home allowance,Jul-13,External,1161,496
living away from home allowance,Jul-13,Internal,7,5
depreciation,Jul-13,External,1173,529
depreciation,Jul-13,Internal,20,12
payment summaries,Jul-13,External,1778,817
payment summaries,Jul-13,Internal,17,9
senior australians and pensioner tax offset,Jul-13,External,790,440
senior australians and pensioner tax offset,Jul-13,Internal,26,16
tax tables,Jul-13,External,942,496
tax tables,Jul-13,Internal,23,11
tax rates,Jul-13,External,699,445
tax rates,Jul-13,Internal,17,13
medicare levy,Jul-13,External,733,460
medicare levy,Jul-13,Internal,8,5
tax calculator,Jul-13,External,838,478
tax calculator,Jul-13,Internal,20,12
redundancy,Jul-13,External,820,420
redundancy,Jul-13,Internal,17,13
cents per kilometre,Jul-13,External,789,449
cents per kilometre,Jul-13,Internal,12,9
superannuation,Jul-13,External,643,345
superannuation,Jul-13,Internal,6,5
etax 2012,Jul-13,External,674,347
etax 2012,Jul-13,Internal,2,2
notice of assessment,Jul-13,External,839,466
notice of assessment,Jul-13,Internal,2,2
superseeker,Jul-13,External,581,341
superseeker,Jul-13,Internal,3,3
departing australia superannuation payment,Jul-13,External,412,257
departing australia superannuation payment,Jul-13,Internal,16,11
low income tax offset,Jul-13,External,537,352
low income tax offset,Jul-13,Internal,13,9
hecs,Jul-13,External,498,311
hecs,Jul-13,Internal,5,4
payg,Jul-13,External,629,380
payg,Jul-13,Internal,10,7
individual tax return instructions,Jul-13,External,664,399
individual tax return instructions,Jul-13,Internal,11,9
tax table,Jul-13,External,535,343
tax table,Jul-13,Internal,11,7
tax rate,Jul-13,External,451,285
tax rate,Jul-13,Internal,4,4
gst,Jul-13,External,651,283
gst,Jul-13,Internal,13,12
medical expenses,Jul-13,External,492,279
medical expenses,Jul-13,Internal,11,9
individual tax return instructions supplement,Jul-13,External,634,392
individual tax return instructions supplement,Jul-13,Internal,13,11
amendment,Jul-13,External,539,299
amendment,Jul-13,Internal,31,23
payg payment summary,Jul-13,External,754,438
payg payment summary,Jul-13,Internal,18,9
cr 2013/18,Jul-13,External,3,2
cr 2012/121,Jul-13,External,451,289
cr 2012/121,Jul-13,Internal,11,6
calculator,Jul-13,External,458,285
calculator,Jul-13,Internal,4,3
help debt,Jul-13,External,317,217
help debt,Jul-13,Internal,11,1
statutory declaration,Jul-13,External,372,217
statutory declaration,Jul-13,Internal,28,17
tax pack,Jul-13,External,494,323
tax pack,Jul-13,Internal,22,11
tax free threshold,Jul-13,External,369,264
tax free threshold,Jul-13,Internal,8,8
progress of return,Jul-13,External,517,294
progress of return,Jul-13,Internal,5,4
travel allowance,Jul-13,External,638,291
travel allowance,Jul-13,Internal,4,2
73194,Jul-13,External,430,183
73194,Jul-13,Internal,31,25
non lodgment,Jul-13,External,253,165
non lodgment,Jul-13,Internal,12,11
salary sacrifice,Jul-13,External,434,255
salary sacrifice,Jul-13,Internal,9,7
group certificate,Jul-13,External,686,360
group certificate,Jul-13,Internal,2,2
fbt,Jul-13,External,381,238
fbt,Jul-13,Internal,3,2
46,Jul-13,External,727,391
46,Jul-13,Internal,38,25
tax return,Jul-13,External,295,209
tax return,Jul-13,Internal,14,8
tax offsets,Jul-13,External,479,201
tax offsets,Jul-13,Internal,12,7
deductions,Jul-13,External,407,254
deductions,Jul-13,Internal,10,8
weekly tax table,Jul-13,External,463,289
weekly tax table,Jul-13,Internal,6,3
medicare levy surcharge,Jul-13,External,303,197
medicare levy surcharge,Jul-13,Internal,7,3
zone offset,Jul-13,External,272,162
zone offset,Jul-13,Internal,5,2
capital gains tax,Jul-13,External,303,186
capital gains tax,Jul-13,Internal,4,3
car expenses,Jul-13,External,391,224
car expenses,Jul-13,Internal,15,7
foreign resident,Jul-13,External,264,173
foreign resident,Jul-13,Internal,10,10
calculators,Jul-13,External,316,172
calculators,Jul-13,Internal,3,2
etax,Jul-13,External,398,274
etax,Jul-13,Internal,14,9
zone,Jul-13,External,343,181
zone,Jul-13,Internal,6,5
foreign exchange rates,Jul-13,External,193,140
foreign exchange rates,Jul-13,Internal,5,5
tax pack 2013,Jul-13,External,400,273
tax pack 2013,Jul-13,Internal,13,9
2843,Jul-13,External,439,199
2843,Jul-13,Internal,34,25
car allowance,Jul-13,External,454,245
car allowance,Jul-13,Internal,6,5
etax 2013,Jul-13,External,680,334
etax 2013,Jul-13,Internal,13,9
74109,Jul-13,External,877,424
74109,Jul-13,Internal,36,23
rental property,Jul-13,External,304,179
rental property,Jul-13,Internal,2,1
zone rebate,Jul-13,External,229,152
zone rebate,Jul-13,Internal,3,3
abn,Jul-13,External,247,169
abn,Jul-13,Internal,5,4
depreciation rates,Jul-13,External,474,210
depreciation rates,Jul-13,Internal,8,4
1005,Jul-13,External,482,267
1005,Jul-13,Internal,19,10
motor vehicle,Jul-13,External,361,198
motor vehicle,Jul-13,Internal,2,2
home office,Jul-13,External,299,226
home office,Jul-13,Internal,5,5
tax withheld calculator,Jul-13,External,245,178
tax withheld calculator,Jul-13,Internal,1,1
tax offset,Jul-13,External,339,201
tax offset,Jul-13,Internal,7,5
withholding tax,Jul-13,External,320,200
withholding tax,Jul-13,Internal,2,1
payg withholding,Jul-13,External,334,216
